id,latitude,longitude,depth,mag
centennial20020920133343,-1.74,134.17,9,6
centennial20020917112024,-3.28,142.78,9,6
centennial20020916132302,-3.26,142.74,11,6
centennial20020915083932,44.68,130.05,586,6.3
centennial20020913222830,13.02,93.09,21,6.5
centennial20020908184425,-3.26,142.94,13,7.6
centennial20020901171503,14.3,51.91,20.7,6
centennial20020824184053,43.16,146.08,30,6.1
centennial20020820105933,30.99,142,9,6
pde20020819112306200_677,-23.899,178.375,677.4,6.1
centennial20020819110825,-23.92,178.53,675,7.7
centennial20020819110101,-21.72,-179.36,580,7.6
centennial20020815053029,-1.26,121.29,20,6.2
centennial20020814135753,14.08,146.32,30,6.5
centennial20020814131242,7.78,136.99,14,6.2
centennial20020809133106,-16.38,-176.06,364,6.1
centennial20020802231139,29.22,139.09,418,6.2
centennial20020731001647,7.93,-82.78,20,6.5
centennial20020730065506,-57.88,-23.34,14,6.1
centennial20020719064357,-56.63,-140.7,12.5,6
centennial20020703230017,-5.06,147.52,18,6.1
centennial20020630212937,-22.21,179.32,620,6.4
centennial20020629023902,-12.44,166.66,38,6.1
centennial20020628171931,43.76,130.68,566,7.3
centennial20020627071612,-13.28,167.1,188.2,6
centennial20020627055036,-6.97,103.96,11,6.5
centennial20020622025823,35.59,49.02,11,6.5
pde20020621000544850_33,-4.495,146.768,33,6
centennial20020618135624,-30.83,-71.06,54,6.4
centennial20020617212624,-12.61,166.52,32,6.7
centennial20020617132601,-4.6,-105.43,28,6
centennial20020616024612,8.77,-83.92,14,6.4
centennial20020613012722,-47.77,99.63,17.7,6.5
centennial20020610224834,11.01,140.83,11,6
centennial20020606235351,-0.88,148.52,22,6.2
centennial20020528164517,24.07,122.27,23,6
centennial20020528040422,-28.95,-66.74,14,6
centennial20020525053631,53.82,-161.16,18,6.3
centennial20020515034608,24.66,121.86,16.7,6.1
centennial20020514165611,-36.42,79.03,4.1,6.2
centennial20020508052601,-18.01,-174.48,132.9,6.2
centennial20020426160605,13.1,144.67,54,7
centennial20020424110001,-56.04,-122.34,7.9,6.2
centennial20020418160837,-27.46,-70.44,53,6.6
centennial20020418050245,16.97,-100.9,11,6.7
centennial20020411215657,-14.43,167.81,11,6.1
centennial20020408034858,-51.07,139.28,15,6.1
centennial20020407014128,-61.02,153.48,15,6.2
centennial20020401195933,-29.63,-71.29,71,6.3
centennial20020331065252,24.3,122.14,34,7.1
centennial20020328045624,-21.69,-68.27,132,6.5
centennial20020326034548,23.32,124.05,23,6.4
centennial20020325145635,36.05,69.21,8,6.1
centennial20020319221417,-6.49,129.89,154.2,6
centennial20020317193335,-45.23,35.31,11,6
centennial20020309122712,-56.11,-27.44,114,6
centennial20020305211610,6.02,124.21,31,7.5
pde20020303120819740_225,36.502,70.482,225.6,7.4
centennial20020303120808,36.42,70.46,204.9,7.3
centennial20020228015050,-5.74,151.4,40,6.2
centennial20020219003547,-3.74,151.11,10,6.1
centennial20020205132726,-5.4,151.38,39,6.6
centennial20020203071130,38.52,31.22,5,6.5
centennial20020130125820,-6.25,150.94,32.4,6
centennial20020128150956,-15.4,-173.07,27.4,6.2
centennial20020128135030,49.38,155.53,38,6.1
centennial20020122045353,35.62,26.64,88,6.2
centennial20020116230953,15.56,-93.15,78,6.4
centennial20020115090117,-5.59,151.19,41,6.2
centennial20020115071301,-6.28,105.17,24.4,6.1
centennial20020115044802,-17.42,167.9,15.8,6
centennial20020113141056,-5.66,151.12,34,6.3
centennial20020110111458,-3.26,142.44,11,6.7
centennial20020103101740,-17.66,168.08,25,6.6
centennial20020103070529,36,70.65,133,6
centennial20020102172250,-17.59,167.97,21,7.2
centennial20020102145033,-17.88,178.88,650.1,6.1
centennial20020101112924,6.31,125.66,142,6.3
centennial20011227105453,-14.64,167.32,153,6.1
centennial20011223225255,-9.61,159.64,16,6.8
centennial20011218040259,23.99,122.78,14,6.8
centennial20011212140237,-42.83,124.65,15.8,7
centennial20011212125320,-17.18,167.75,43,6.1
centennial20011209181504,-0.07,122.79,163.6,6
centennial20011208202936,28.28,129.46,40.1,6.2
centennial20011203113233,-16.52,-177.29,21.6,6.4
centennial20011202130155,39.43,141.09,124,6.4
centennial20011128143234,15.68,-93.11,84,6.4
pde20011127005346190_10,-33.228,-178.573,10,6
centennial20011123204304,36.37,71.44,102,6
pde20011122232447740_10,-16.242,178.054,10,6.2
centennial20011122232223,-16.33,178.17,20,6.3
centennial20011120210818,-6.98,128.85,29.2,6.2
centennial20011115010308,-1.57,-15.61,12,6.3
centennial20011114092612,35.88,90.58,15,7.8
centennial20011113104322,53.61,170.44,20.8,6
centennial20011113094736,22.3,-107.03,26,6
centennial20011109004757,9.71,-82.25,17,6
centennial20011105230712,-17.34,-179.07,563.2,6.2
centennial20011031091021,-5.96,150.24,34,6.9
centennial20011026230549,-18.5,168.27,17,6.1
centennial20011021002922,-36.94,179.32,18,6.6
centennial20011019032845,-4.11,123.93,29,7.5
centennial20011012150218,12.75,145.04,37,7
centennial20011012050235,52.69,-132.25,16,6
centennial20011008182039,52.68,160.13,28,6.3
centennial20011008181425,52.57,160.2,28,6.4
centennial20011007022113,-3.31,142.96,25.2,6.1
centennial20011002004818,-16.2,-173.69,98,6.1
centennial20010930190117,-18.46,168.26,20,6.2
centennial20010929024005,-18.52,168.3,18,6.3
centennial20010918021932,-7.58,127.67,133.3,6
centennial20010912084838,-21.01,-178.97,615,6.4
centennial20010911145650,-0.61,133.11,23,6.5
centennial20010902100653,-54.31,-136.85,10.1,6.3
centennial20010902022558,0.93,82.44,25.1,6
centennial20010827011651,1.05,126.32,52.4,6.1
centennial20010825020202,7.6,-82.76,16,6
centennial20010823214505,-3.33,146.46,14.2,6.1
centennial20010821065210,-36.81,-179.66,58,7.1
centennial20010813201125,41.05,142.28,38,6.4
centennial20010806035301,-55.43,-123.33,15,6.7
centennial20010802234107,56.22,163.7,14,6.3
centennial20010728073244,59,-155.09,135,6.6
centennial20010726002138,39.08,24.29,12,6.4
centennial20010724050006,-19.55,-69.23,9,6.3
centennial20010722181511,-5.21,132.32,38.5,6
centennial20010708175421,-6.69,152.14,18.6,6.1
centennial20010707093842,-17.53,-71.93,14.1,7.6
centennial20010705135349,-16.06,-73.75,62,6.5
centennial20010704120901,-17.2,-65.6,13,6.1
centennial20010704070631,-21.79,-176.59,180,6.5
centennial20010703131043,21.63,143.04,290,6.4
centennial20010701014607,-4.3,152.92,28,6.1
centennial20010629183552,-19.73,-66.25,274,6
centennial20010626123354,-4.04,-104.48,15,6
centennial20010626041832,-17.86,-71.52,24,6.7
centennial20010624131854,44.29,148.39,38.6,6
pde20010623212735710_33,-17.181,-72.641,33,6.1
centennial20010623203315,-16.38,-73.5,32,8.4
centennial20010615061743,18.81,147.04,17,6
centennial20010614194849,51.16,-179.86,18,6.5
centennial20010605151359,-6.79,146.46,8,6
centennial20010605090006,-6.86,146.43,9,6.4
centennial20010603024158,-29.8,-178.46,187,7.1
centennial20010529233720,-7.05,155.17,14,6.4
centennial20010528083707,-6.66,132.32,36.8,6
centennial20010526105726,-20.33,-177.72,398.9,6.3
centennial20010525050611,-7.85,110.04,140,6.3
centennial20010525004051,44.26,148.34,30,6.7
centennial20010520042143,18.91,-104.44,18,6.3
centennial20010509173826,-10.31,161.32,62,6.2
centennial20010429212657,18.75,-104.53,17.9,6.1
centennial20010428044955,-18.1,-176.9,361,6.8
centennial20010426174857,43.17,145.88,72,6
centennial20010419214343,-7.42,155.87,17,6.6
centennial20010419205827,-7.41,156.03,20,6.2
centennial20010419031326,-7.47,155.96,12,6
centennial20010414232727,30.16,141.81,7,6
centennial20010413153355,-59.83,-25.7,26,6.2
centennial20010409090058,-32.75,-73.22,11,6.7
centennial20010407231736,-27.71,-176.23,18.7,6.2
centennial20010404074410,-5.26,132.29,17,6.3
centennial20010324062753,34.1,132.54,42,6.8
centennial20010323113011,44.17,148,30,6
centennial20010319055215,-4.08,127.95,18,6.5
centennial20010306091738,-54.56,157.26,16.2,6.1
centennial20010228185432,47.09,-122.58,54,6.8
pde20010228185013020_65,13.283,-88.827,65.3,6.1
centennial20010228130534,-21.96,170.13,15,6.3
centennial20010228123018,-21.93,170.25,25,6.6
centennial20010226055822,46.82,144.46,378,6
centennial20010225022200,36.42,70.86,200,6.1
centennial20010224163345,1.53,126.33,29,6.2
centennial20010224072349,1.33,126.27,35,7
centennial20010218130455,-47.36,32.47,17.5,6
centennial20010217201129,53.96,-133.87,3.3,6.2
centennial20010216055909,-7.15,117.42,515,6
centennial20010214141701,-19.65,177.53,16.8,6.2
centennial20010214140428,-19.56,177.52,19.2,6
centennial20010213192831,-4.83,102.32,34,7.3
centennial20010213142207,13.6,-89,11,6.5
centennial20010201181931,51.44,-177.8,27,6
centennial20010129232124,-0.71,133.25,14,6.2
centennial20010126031641,23.4,70.28,16,7.6
centennial20010119090435,-58.12,-9.53,24.7,6
centennial20010119081014,-11.63,166.45,38,6.2
centennial20010119011255,15.38,-92.68,111.9,6
pde20010116132509830_28,-4.022,101.776,28,6.9
centennial20010116132502,-4.06,101.59,32.6,6.8
centennial20010115055217,-40.33,78.28,8,6.3
centennial20010113173331,13.07,-88.7,38,7.7
centennial20010111000408,49.16,-128.96,10.1,6
centennial20010110160243,56.93,-153.53,25,6.9
centennial20010109164929,-14.94,167.29,103,7
centennial20010102073004,6.72,126.92,24,6.3
centennial20010101085434,6.58,126.92,44.1,6.8
centennial20010101065705,6.88,126.69,36,7.4
centennial20001228043428,-4.04,152.48,20,6.1
centennial20001223071326,-7.91,135.75,63.5,6
centennial20001222101302,44.85,147.14,140,6.1
centennial20001221024124,-5.38,154.21,388.3,6
centennial20001221010130,-5.8,151.27,44,6.3
centennial20001220164942,-9.35,154.64,24.2,6.6
centennial20001220112355,-39.1,-74.93,11,6.4
centennial20001219131145,11.73,144.87,13.9,6.1
centennial20001218011922,-21.15,-179.03,628,6.5
centennial20001215164448,38.45,31.26,12,6
centennial20001212052645,5.78,-82.69,7,6.1
centennial20001206225741,-4.22,152.79,28,6.5
centennial20001206171107,39.53,54.8,30,7
pde20001204044309590_33,14.876,-93.944,33,6.1
centennial20001204044217,14.87,-93.87,50,6
centennial20001129102512,-24.95,-70.98,36,6.3
pde20001125181047390_33,40.167,49.954,33,6.5
centennial20001125180913,40.19,49.92,50,6.8
centennial20001123184319,-4.59,153.09,49,6.3
centennial20001121212105,-5.33,152.74,15,6.1
centennial20001121173334,-5.44,152.22,26,6.1
centennial20001119053522,-5.6,151.95,46.4,6
centennial20001118230539,-5.41,153.46,18,6
centennial20001118065500,-5.23,151.8,43,6.7
centennial20001118020548,-5.09,153.19,18,6.6
centennial20001117210157,-5.49,151.88,29.7,7.8
pde20001116110541640_33,-5.29,152.968,33,6.2
pde20001116074532940_33,-4.827,153.226,33,6.5
centennial20001116074218,-5.19,153.12,30,7.8
pde20001116052122410_33,-5.069,153.238,33,6
centennial20001116045457,-3.99,152.26,27.6,8
centennial20001113155722,42.52,144.73,26,6
centennial20001108070000,7.09,-77.81,17,6.5
centennial20001107075011,-5.46,154.01,94.4,6.2
pde20001107010149260_33,-5.538,151.592,33,6
centennial20001107001806,-55.51,-29.48,13,6.7
centennial20001101103557,-45.13,167.12,30.2,6.1
centennial20001031184319,-18.04,-175.17,15.5,6.2
pde20001029083708770_50,-4.766,153.945,50,7
centennial20001029083658,-5.22,154.06,50,6.9
centennial20001027042152,26.26,140.61,388,6
centennial20001025190021,-34.62,-109.53,27.1,6.1
centennial20001025093225,-6.72,105.52,38,6.8
centennial20001025052641,-34.57,-109.66,12.5,6
centennial20001021113600,-47.28,-12.28,12.1,6
centennial20001021052515,-17.37,-175.05,287.5,6.2
centennial20001006043020,35.38,133.17,9,6.7
centennial20001005200609,6.8,126.87,31.5,6.1
centennial20001005133913,31.67,-40.9,8.3,6.1
centennial20001004165845,-15.34,167,23,6.9
centennial20001004143745,11.08,-62.53,110,6.2
centennial20001003041328,40.19,143.13,14,6.2
centennial20001002022533,-7.96,30.8,34,6.4
centennial20000928232343,-0.27,-80.54,16,6.4
centennial20000926061753,-17.27,-173.78,56,6.3
centennial20000922182204,-5.01,102.01,31,6.2
pde20000914145957670_33,-15.742,179.801,33,6.2
centennial20000914145956,-15.79,-179.93,9,6.2
centennial20000912162722,-5.51,101.7,9,6
centennial20000912002800,35.42,99.44,10,6.1
centennial20000911171754,-15.91,-173.57,118,6.3
centennial20000910190613,-1.15,129.35,9,6
centennial20000902170220,-20.04,-179.01,691.6,6
centennial20000901115651,1.39,96.45,22,6
pde20000828192932330_33,-4.124,127.027,33,6.3
centennial20000828192923,-4.19,127.27,17,6.4
pde20000828153806390_10,-3.986,127.325,10,6.1
centennial20000828150549,-4.09,127.42,16,6.8
centennial20000821091628,-53.02,-46.3,18,6
centennial20000815043009,-31.64,179.86,358,6.6
centennial20000814221116,-9.36,153.94,4.3,6
centennial20000809225558,-16.81,174.48,15,6.4
centennial20000809114147,18.15,-102.55,29,6.5
centennial20000809000840,-15.7,168.08,14,6.2
centennial20000807143357,-7.01,123.36,649,6.5
centennial20000806072713,28.82,139.6,395,7.3
centennial20000804211305,48.77,142.2,16,6.8
centennial20000803010940,-12.04,166.52,35,6.6
centennial20000731224431,-16.71,174.66,10,6.1
centennial20000730122547,33.93,139.38,15,6.5
centennial20000721015334,9.33,-85.31,17,6.4
centennial20000720183918,36.55,140.94,31,6
centennial20000717225347,36.24,70.94,135,6.3
centennial20000716172526,-12.39,166.59,45.4,6.1
centennial20000716035746,-7.77,150.96,8,6.6
centennial20000716032145,20.28,122.13,26,6.4
centennial20000715013032,34.39,139.26,14,6
centennial20000711013228,57.41,-154.42,49,6.5
centennial20000701070157,34.22,139.17,12.5,6.1
centennial20000625063448,31.13,131.25,37.7,6
centennial20000621005148,63.87,-20.74,8,6.4
centennial20000618144413,-13.87,97.3,8.2,7.9
centennial20000617154043,63.9,-20.47,8,6.5
centennial20000616075535,-33.83,-70.1,114,6.4
centennial20000615111047,29.38,132.11,11,6.1
centennial20000614230115,-17.66,176.38,23,6
centennial20000614170050,4.54,127.7,94,6.3
centennial20000614021526,-25.56,178.21,605,6.4
centennial20000611115515,-50.57,139.49,19.4,6.5
centennial20000610182328,23.86,121.18,19,6.4
centennial20000609233145,30.47,137.75,485,6.2
centennial20000609084159,-11.35,162.24,18.9,6.1
centennial20000609012714,-5.11,152.57,18,6.3
centennial20000607234527,-4.65,101.84,32,6.7
centennial20000607214654,26.79,97.14,11,6.3
centennial20000606145701,29.43,131.49,18,6.3
centennial20000606095808,-5.11,102.66,32,6.2
centennial20000606024151,40.73,33,7,6
pde20000604175215990_33,28.723,65.383,33,6
pde20000604163945600_33,-4.646,102.102,33,6.7
centennial20000604162827,-4.76,102.03,34.1,7.8
centennial20000603085449,35.57,140.46,51.1,6.1
centennial20000602111349,44.41,-130.28,6,6.2
centennial20000526003003,11.35,139.3,14,6
centennial20000514200832,-4.32,123.09,14,6.2
centennial20000512231029,35.88,70.65,95,6.2
centennial20000512184319,-23.75,-66.77,225,7.2
centennial20000508102826,-4.45,150.03,502,6.1
centennial20000506134415,-11.27,165.47,12,6.3
centennial20000504203633,-17.91,-178.41,516,6.4
centennial20000504042117,-1.14,123.52,26,7.5
centennial20000502150331,17.42,147.6,8,6
centennial20000423170118,-28.37,-62.92,610,6
centennial20000423092724,-28.31,-62.92,610,6.9
centennial20000421043518,51.44,-178.15,28,6
centennial20000407190833,-17.79,65.84,20.2,6.3
centennial20000403152002,4.09,125.52,140.5,6.1
centennial20000328110020,22.26,143.68,102,7.6
centennial20000312222131,15.14,-92.41,53,6.3
centennial20000305235705,-62.98,145.49,15.8,6.1
centennial20000304022424,-60.16,150.25,15,6.3
centennial20000303222243,-6.8,143.89,17,6.5
centennial20000303220915,-7.35,128.52,142,6.3
centennial20000229224457,-18.05,169.1,21.2,6
centennial20000226182441,9.36,-78.65,65,6.1
centennial20000226081147,13.82,144.9,114,6.2
centennial20000225014357,-19.5,173.97,14,7.1
centennial20000213025709,42.8,131.66,514.7,6
centennial20000206113354,-5.89,150.99,39,6.6
centennial20000128163925,26.1,124.55,198,6
centennial20000128142106,43.08,146.81,40,6.8
centennial20000126132653,-17.32,-173.86,55,6.2
centennial20000120094151,43.62,-127.08,7,6
centennial20000115124946,-21.21,-179.09,638.9,6
centennial20000113200715,-17.59,-178.64,539.6,6.2
centennial20000109215442,-18.76,174.46,35.3,6.4
centennial20000108164718,-16.94,-174.09,155,7.2
centennial20000108115923,-23.19,-70.1,36,6.3
centennial20000108011944,-9.85,160.01,11,6.4
centennial20000106213104,16.13,119.37,12,6.2
centennial20000106104228,58.08,-136.91,12,6.1
centennial20000105074041,-11.3,165.47,26.2,6.1
centennial20000101055822,-60.7,153.77,15,6
centennial19991229225355,-11.12,165.468,9,6.1
centennial19991229132920,-10.925,165.522,30.7,6.9
centennial19991228124659,5.636,-82.746,3.1,6
centennial19991224223540,-56.404,147.235,8.3,6
centennial19991224192606,-56.224,147.012,10,6.2
centennial19991221141457,-6.849,105.53,42,6.4
centennial19991218174456,-2.448,139.758,18.1,6.1
centennial19991215044113,-5.81,151.054,31.4,6.2
centennial19991211180338,15.758,119.758,43.5,7.3
centennial19991210183832,-36.103,-97.282,10,6.5
centennial19991209101818,-6.047,148.177,61.3,6.3
centennial19991208133442,-9.855,160.112,12.4,6
centennial19991207212950,-15.948,-173.92,140.1,6.3
centennial19991207001952,57.296,-154.525,50.1,6.4
centennial19991206231234,57.346,-154.519,58.5,7
centennial19991201192306,17.663,-82.382,5.1,6.2
centennial19991130040153,-18.917,-69.141,124.6,6.5
centennial19991129034631,-1.287,88.965,9.3,6.4
centennial19991126132115,-16.393,168.314,24.3,7.4
centennial19991121064622,18.724,-107.176,28.5,6
centennial19991119135649,-6.359,148.813,45.5,7
centennial19991117113637,-6.036,148.833,52.3,6.2
centennial19991117032744,-6.005,148.858,58.1,6.9
centennial19991115054245,-1.35,88.869,13.3,7
centennial19991112165721,40.782,31.213,10,7.2
centennial19991111180544,1.244,100.22,213.4,6
centennial19991111024106,49.397,155.534,30,6
centennial19991108164544,36.472,71.236,225.8,6.5
centennial19991101175303,23.415,121.528,52.5,6.2
centennial19991023021204,-4.808,153.457,69.5,6.2
centennial19991018024327,-56.211,-26.688,45.9,6.3
centennial19991016094646,34.515,-116.435,5.1,7.2
centennial19991013013340,54.624,-161.226,22.3,6.4
centennial19990930163114,16.045,-96.869,40,7.5
pde19990929180131830_33,-30.738,-71.993,33,6
centennial19990928050043,54.614,168.242,22.7,6
centennial19990925235251,23.776,121.15,23.2,6.5
centennial19990922001441,23.758,121.158,29.3,6.4
centennial19990920214642,23.423,120.875,16.4,6.4
centennial19990920181619,23.822,121.226,26.9,6.2
centennial19990920181153,23.806,121.15,19,6.1
centennial19990920180343,23.642,121.244,18.4,6.3
centennial19990920175719,23.854,121.205,52,6.1
centennial19990920174719,23.789,120.954,31.3,7.7
centennial19990917145450,-13.775,167.318,198.1,6.2
centennial19990915030125,-20.815,-67.226,212.9,6.4
centennial19990828124007,-1.226,-77.469,196.4,6.1
centennial19990826073927,-3.451,145.732,13.1,6
centennial19990822124044,-16.092,168.153,12,6.5
centennial19990822093538,-40.583,-75.006,18.3,6.4
centennial19990821215113,-58.225,-13.144,10,6.1
centennial19990820100221,9.301,-84.047,19,6.9
centennial19990817000140,40.747,29.938,17,7.6
centennial19990814001653,-5.913,104.622,98.1,6.4
centennial19990812054500,-1.725,122.504,29.5,6.1
centennial19990801083911,-30.392,-177.677,50.8,6.5
centennial19990728100821,-30.322,-177.849,25,6.3
centennial19990726013317,-5.156,152.118,32,6.1
centennial19990719021705,-28.681,-177.438,48.6,6.4
centennial19990711141419,15.798,-88.286,20,6.7
centennial19990709050444,-6.528,155.022,29,6.2
centennial19990621174303,18.253,-101.549,47,6.2
centennial19990618105529,5.472,126.587,49,6.4
centennial19990615204206,18.362,-97.45,67.1,7
centennial19990606070807,13.909,-90.746,35,6.2
centennial19990517100758,-5.12,152.954,28.7,6.6
centennial19990516152553,-2.595,138.245,41,6.3
centennial19990516005118,-4.709,152.612,46,7.1
centennial19990512175924,43.112,143.791,103.6,6.1
centennial19990510203301,-5.158,150.975,124,7.1
centennial19990507141354,56.469,-152.87,20,6.1
centennial19990506230052,29.46,51.884,19.8,6.1
centennial19990505224128,14.339,-94.738,5.7,6
centennial19990420190408,-32.071,-178.842,95.7,6.4
centennial19990413103848,-21.513,-176.321,161.6,6.8
centennial19990409121602,-26.366,178.353,615.7,6.1
centennial19990408131035,43.616,130.339,574.2,7.1
centennial19990406082214,-6.52,147.1,24.3,6.3
centennial19990405110803,-5.6,149.65,138,7.4
centennial19990403061720,-16.613,-72.527,88.3,6.8
centennial19990402170548,-19.906,168.288,10,6.1
centennial19990401213627,-4.433,152.763,69.4,6.1
centennial19990331055443,5.883,-82.723,1.9,6.3
centennial19990328190511,30.455,79.384,7.8,6.5
centennial19990320104748,51.59,-177.657,45.6,6.9
centennial19990308122545,52.076,159.462,19,6.9
centennial19990307203541,-15.982,-179.304,11.4,6
centennial19990304085202,5.421,121.875,28.6,7.1
centennial19990304053826,28.318,57.206,23,6.6
centennial19990222010032,-21.453,169.771,23,6.4
centennial19990213144514,-3.467,144.792,10,6.2
centennial19990206214801,-12.818,166.779,90,7.3
centennial19990203011355,-20.315,-174.164,9,6.2
centennial19990128182425,-4.591,153.684,91.6,6.3
centennial19990128081006,52.892,-169.117,68.6,6.6
centennial19990125181919,4.447,-75.678,25.2,6.1
centennial19990124080012,-26.492,74.416,24.7,6.2
centennial19990124070156,-21.144,-174.451,13,6
centennial19990124003707,30.657,131.056,44,6.3
centennial19990119033531,-4.553,153.406,75,7
centennial19981227003827,-21.768,-176.201,146.5,6.8
centennial19981216174506,1.15,126.082,31.7,6
centennial19981206004715,1.298,126.205,43.7,6.6
centennial19981129141031,-1.939,124.818,20.5,7.7
centennial19981125180526,-7.891,158.745,46.1,6.1
centennial19981119153919,22.707,125.832,1.1,6.2
centennial19981115024413,-21.629,-176.376,152.6,6.2
centennial19981109053845,-6.976,128.928,31.1,7
centennial19981109053016,-6.994,128.923,34.9,6.7
centennial19981108072552,-9.19,121.399,52.7,6.3
centennial19981028162506,0.852,125.897,43.9,6.5
centennial19981011233624,-56.61,-142.471,10,6.2
centennial19981008045143,-16.05,-71.303,128.1,6.1
centennial19981003111543,28.574,127.659,219.3,6
centennial19980928192324,3.855,126.393,27.6,6
centennial19980928133430,-8.182,112.337,146.4,6.5
centennial19980921120942,-13.602,166.899,43,6.3
centennial19980915083545,-5.435,151.723,24,6.2
centennial19980914231645,51.606,-173.175,11.9,6
centennial19980903181555,27.815,86.935,10.8,6
centennial19980903173801,-29.434,-71.674,41,6.5
centennial19980902083726,5.459,126.7,13,6.8
centennial19980830113336,51.005,-130.503,12.5,6
centennial19980830014808,17.1,148.229,21.9,6.3
centennial19980828124058,-0.121,125.002,54.5,6
centennial19980827090337,39.55,77.327,24.8,6.3
centennial19980823135711,11.706,-87.998,12,6.7
centennial19980820150006,51.627,175.187,12.7,6.1
centennial19980820064055,28.975,139.393,425,7.1
centennial19980805125427,-54.771,-135.642,1.9,6.1
centennial19980804185920,-0.595,-80.31,25.9,7.2
centennial19980729180032,-2.705,138.98,42.6,6.7
centennial19980729071425,-32.322,-71.246,51.9,6.4
centennial19980725023926,-13.601,166.916,52.3,6.2
centennial19980724184403,21.406,121.956,15.1,6
centennial19980718164120,-18.274,168.269,26.8,6
centennial19980717090934,-2.901,142.172,16.8,6.2
centennial19980717084914,-2.975,142.692,10,7
centennial19980716115635,-11.033,166.267,93,7
centennial19980709193945,60.475,-153.198,142.7,6.1
centennial19980709144540,-30.568,-178.862,130,6.9
centennial19980709051908,38.632,-28.57,6.1,6.1
centennial19980629233717,-60.427,153.363,10,6.2
centennial19980627135551,36.905,35.323,16,6.2
centennial19980618041759,-11.529,-14.065,20.6,6.2
centennial19980616093514,-52.94,159.875,10,6.1
centennial19980607232015,15.96,-93.754,88.1,6.2
centennial19980601053404,52.917,159.959,40.4,6.4
centennial19980530181815,39.093,143.434,20.4,6
centennial19980530062231,37.135,70.096,34.3,6.5
centennial19980522044851,-17.775,-65.398,21,6.6
centennial19980521223123,-43.287,41.553,2.8,6.2
centennial19980521053426,0.192,119.53,28,6.6
centennial19980516022205,-22.275,-179.421,598.3,6.9
centennial19980513230204,-5.161,151.867,42.4,6.6
centennial19980510060559,13.72,-90.808,25,6.3
centennial19980503233022,22.432,125.373,23.9,7.5
centennial19980427184037,-2.969,136.266,29.1,6
centennial19980425060728,-35.252,-17.558,15.1,6.2
centennial19980414034122,-23.859,-179.767,493.3,6
centennial19980411004434,-23.741,-175.921,18,6.1
centennial19980410164041,-1.44,-15.549,15,6.1
centennial19980403220151,-8.128,-74.33,168.3,6.6
centennial19980401224257,-40.41,-75.047,5.7,6.7
centennial19980401175621,-0.564,99.195,32,7
centennial19980329194816,-17.714,-178.912,538.3,7.2
centennial19980329071502,-0.079,-17.968,11.4,6
centennial19980325121724,-63.659,147.867,15,6.3
centennial19980325031228,-62.901,149.607,20.1,8.1
centennial19980321163313,80.08,2.825,5.1,6.2
centennial19980320210810,-49.871,163.593,10,6.7
centennial19980314194030,30.128,57.584,17.9,6.6
centennial19980303022443,14.447,-91.35,43.8,6
centennial19980220121807,36.455,71.074,234.8,6.3
centennial19980219141449,-4.523,129.005,15,6.5
centennial19980216235323,52.681,-33.661,20.7,6.7
centennial19980207011900,24.786,141.922,525,6.4
centennial19980203030201,15.896,-96.253,27.3,6.3
centennial19980130121610,-23.846,-70.149,41.4,7.1
centennial19980127210543,-22.489,179.227,595,6.4
centennial19980127195502,-22.672,179.186,613,6.3
centennial19980119182401,-44.869,-79.843,10,6.1
centennial19980114172409,-15.773,-179.166,15,6.5
centennial19980112163622,-15.878,-179.238,27.1,6.7
centennial19980112101410,-31.066,-71.498,46.5,6.6
centennial19980110082012,14.453,-91.517,73.7,6.6
centennial19980110045424,-11.988,-72.03,16.9,6.1
centennial19980104061200,-22.247,171.014,100.4,7.5
centennial19980103061009,-35.52,-15.963,12.1,6.2
centennial19980101061124,23.952,142.054,102.2,6.3
centennial19971227201103,-55.884,-4.407,13.1,6.1
centennial19971222020552,-5.558,147.877,191.3,7.2
centennial19971217055130,36.377,70.782,208.4,6.2
centennial19971217043853,51.195,178.846,21,6.6
centennial19971211075630,3.901,-75.791,186.4,6.3
centennial19971207175618,54.673,162.804,19.4,6.1
centennial19971206105910,53.987,161.829,24.8,6
centennial19971205190407,53.779,161.513,26.1,6.2
centennial19971205184820,53.78,161.666,9,6.4
centennial19971205114841,54.417,162.26,28.3,7.3
centennial19971205112656,54.797,162.003,36.9,7.8
centennial19971128225344,-13.81,-68.805,605.8,6.6
centennial19971125121435,1.204,122.485,24,7
centennial19971121112308,22.239,92.678,54.5,6
centennial19971118130741,37.481,20.777,22.9,6.6
centennial19971115185925,-15.113,167.438,126.9,7
centennial19971110230642,31.208,140.467,60,6.1
centennial19971109225646,13.854,-88.811,194.1,6.3
centennial19971108100253,35.106,87.369,24,7.5
centennial19971103191800,-6.728,128.978,215.6,6
centennial19971103191735,-30.769,-71.249,50.7,6.1
centennial19971028061518,-4.355,-76.599,112,7.2
centennial19971017095518,-57.537,147.989,14.4,6.1
centennial19971015031110,51.437,-177.864,21.1,6.4
centennial19971015010335,-30.891,-71.154,62.3,7.1
centennial19971014095318,-22.256,-176.627,163.4,7.7
centennial19971013133940,36.392,22.162,32.3,6.4
centennial19971006205245,-9.347,158.829,27.8,6
centennial19971006123007,9.797,125.736,110.9,6.4
centennial19971005180431,-59.704,-29.274,270,6.2
centennial19970930062729,31.958,141.946,32.1,6.1
centennial19970920161133,-28.795,-177.437,29.8,7
centennial19970904042336,-26.51,178.443,604.2,6.8
